Tên điện thoại,Màn hình rộng:,Chuẩn màn hình:,Camera sau,Camera trước,Hệ điều hành:,Chip xử lý (CPU):,RAM:,Dung lượng lưu trữ:,Dung lượng pin:,SIM:,Độ phân giải:,Giá tiền,Link
realme C53,"6.74"" - Tần số quét 90 Hz",IPS LCD,"{'Độ phân giải:': 'Chính 50 MP & Phụ 0.08 MP', 'Quay phim:': 'HD 720p@30fpsFullHD 1080p@30fps480p@30fps', 'Đèn Flash:': 'Có', 'Tính năng:': 'Zoom kỹ thuật sốXóa phôngTrôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Siêu độ phân giảiQuay chậm (Slow Motion)Làm đẹpHDRChuyên nghiệp (Pro)Bộ lọc màu                                                    Ban đêm (Night Mode)'}","{'Độ phân giải:': '8 MP', 'Tính năng:': 'Xóa phôngNhận diện khuôn mặtLàm đẹpHDRBộ lọc màu'}",Android 13,Unisoc Tiger T612,6 GB,128 GB,5000 mAh,2 Nano SIM,HD+ (720 x 1600 Pixels),3.890.000₫ *,https://www.thegioididong.com/dtdd/realme-c53?utm_flashsale=1
OPPO A18,"6.56"" - Tần số quét 90 Hz",IPS LCD,"{'Độ phân giải:': 'Chính 8 MP & Phụ 2 MP', 'Quay phim:': 'HD 720p@30fpsFullHD 1080p@30fps', 'Đèn Flash:': 'Có', 'Tính năng:': 'Zoom kỹ thuật sốXóa phôngTrôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Nhãn dán (AR Stickers)Làm đẹpHDRGoogle LensChụp hẹn giờ                                                    Chuyên nghiệp (Pro)Bộ lọc màu                                                    Ban đêm (Night Mode)'}","{'Độ phân giải:': '5 MP', 'Tính năng:': 'Xóa phôngTrôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Quay video HDQuay video Full HDNhãn dán (AR Stickers)Làm đẹp A.IHDRChụp hẹn giờ                                                    Bộ lọc màu'}",Android 13,MediaTek Helio G85 8 nhân,4 GB,64 GB,5000 mAh,2 Nano SIM,HD+ (720 x 1612 Pixels),3.190.000₫,https://www.thegioididong.com/dtdd/oppo-a18
iPhone 14 Pro Max,"6.7"" - Tần số quét 120 Hz",OLED,"{'Độ phân giải:': 'Chính 48 MP & Phụ 12 MP, 12 MP', 'Quay phim:': 'HD 720p@30fpsFullHD 1080p@60fpsFullHD 1080p@30fps4K 2160p@60fps4K 2160p@30fps4K 2160p@24fps', 'Đèn Flash:': 'Có', 'Tính năng:': 'Zoom quang họcZoom kỹ thuật sốXóa phôngTrôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Smart HDR 4                                                    Siêu cận (Macro)Quay chậm (Slow Motion)Live Photo                                                    Góc siêu rộng (Ultrawide)Dolby Vision HDRDeep FusionCinematicChống rung quang học (OIS)Chế độ hành động (Action Mode)Bộ lọc màu                                                    Ban đêm (Night Mode)'}","{'Độ phân giải:': '12 MP', 'Tính năng:': 'Xóa phôngTự động lấy nét (AF)Trôi nhanh thời gian (Time Lapse)Smart HDR 4                                                    Retina FlashQuay video Full HDQuay video 4KQuay chậm (Slow Motion)Live Photo                                                    Cinematic                                                    Chụp đêmBộ lọc màu'}",iOS 16,Apple A16 Bionic 6 nhân,6 GB,128 GB,4323 mAh,1 Nano SIM & 1 eSIM,Super Retina XDR (1290 x 2796 Pixels),27.390.000₫ *,https://www.thegioididong.com/dtdd/iphone-14-pro-max
OPPO A38,"6.56"" - Tần số quét 90 Hz",IPS LCD,"{'Độ phân giải:': 'Chính 50 MP & Phụ 2 MP', 'Quay phim:': 'HD 720p@30fpsFullHD 1080p@30fps', 'Đèn Flash:': 'Có', 'Tính năng:': 'Zoom kỹ thuật sốXóa phôngTự động lấy nét (AF)Trôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Nhãn dán (AR Stickers)Làm đẹpHiệu ứng BokehHDRGoogle LensChụp hẹn giờ                                                    Chuyên nghiệp (Pro)Bộ lọc màu                                                    Ban đêm (Night Mode)'}","{'Độ phân giải:': '5 MP', 'Tính năng:': 'Xóa phôngTrôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Quay video HDQuay video Full HDNhãn dán (AR Stickers)Làm đẹpHDRChụp hẹn giờ                                                    Bộ lọc màu'}",Android 13,MediaTek Helio G85 8 nhân,6 GB,128 GB,5000 mAh,2 Nano SIM,HD+ (720 x 1612 Pixels),3.890.000₫,https://www.thegioididong.com/dtdd/oppo-a38-6gb
OPPO A57 128GB,"6.56"" - Tần số quét 60 Hz",IPS LCD,"{'Độ phân giải:': 'Chính 13 MP & Phụ 2 MP', 'Quay phim:': 'HD 720p@30fpsFullHD 1080p@30fps', 'Đèn Flash:': 'Có', 'Tính năng:': 'Zoom kỹ thuật sốXóa phôngTrôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Nhãn dán (AR Stickers)Làm đẹpHiệu ứng BokehHDRGoogle LensChuyên nghiệp (Pro)Bộ lọc màu                                                    Ban đêm (Night Mode)'}","{'Độ phân giải:': '8 MP', 'Tính năng:': 'Xóa phôngTrôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Quay video HDQuay video Full HDNhãn dán (AR Stickers)Làm đẹp A.IHDRBộ lọc màu'}",Android 12,MediaTek Helio G35 8 nhân,4 GB,128 GB,5000 mAh,2 Nano SIM,HD+ (720 x 1612 Pixels),4.390.000₫,https://www.thegioididong.com/dtdd/oppo-a57-128gb?utm_flashsale=1
Samsung Galaxy A14 6GB,"6.6"" - Tần số quét 60 Hz",PLS LCD,"{'Độ phân giải:': 'Chính 50 MP & Phụ 5 MP, 2 MP', 'Quay phim:': 'HD 720p@30fpsFullHD 1080p@30fps', 'Đèn Flash:': 'Có', 'Tính năng:': 'Zoom kỹ thuật sốXóa phôngTự động lấy nét (AF)Toàn cảnh (Panorama)Siêu độ phân giảiSiêu cận (Macro)Nhãn dán (AR Stickers)Làm đẹpHDRChuyên nghiệp (Pro)Bộ lọc màu'}","{'Độ phân giải:': '13 MP', 'Tính năng:': 'Xóa phôngQuay video HDQuay video Full HDLàm đẹpGóc rộng (Wide)Chụp đêmBộ lọc màu'}",Android 13,Exynos 850 8 nhân,6 GB,128 GB,5000 mAh,2 Nano SIM,Full HD+ (1080 x 2408 Pixels),,https://www.thegioididong.com/dtdd/samsung-galaxy-a14
OPPO Reno11 Pro 5G,"6.7"" - Tần số quét 120 Hz",AMOLED,"{'Độ phân giải:': 'Chính 50 MP & Phụ 32 MP, 8 MP', 'Quay phim:': 'HD 720p@960fpsHD 720p@60fpsHD 720p@30fpsHD 720p@240fpsFullHD 1080p@60fpsFullHD 1080p@480fpsFullHD 1080p@30fpsFullHD 1080p@120fps4K 2160p@30fps', 'Đèn Flash:': 'Có', 'Tính năng:': 'Zoom kỹ thuật sốXóa phôngTrôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Siêu độ phân giảiQuét tài liệu                                                    Quét mã QR                                                    Quay video hiển thị képQuay chậm (Slow Motion)Nhãn dán (AR Stickers)Làm đẹpHDRGóc siêu rộng (Ultrawide)Góc rộng (Wide)Google LensChụp ngắt quãng                                                    Chụp hẹn giờ                                                    Chống rung quang học (OIS)Chuyên nghiệp (Pro)Bộ lọc màu                                                    Ban đêm (Night Mode)AI Camera'}","{'Độ phân giải:': '32 MP', 'Tính năng:': 'Xóa phôngVideo hiển thị kép                                                    Trôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Quay video HDQuay video Full HDQuay video 4KNhãn dán (AR Stickers)Làm đẹpHDRGóc rộng (Wide)Flash màn hìnhChụp đêmChụp hẹn giờ                                                    Chống rungBộ lọc màu'}",Android 14,MediaTek Dimensity 8200 5G 8 nhân,12 GB,512 GB,4600 mAh,2 Nano SIM,Full HD+ (1080 x 2412 Pixels),16.490.000₫,https://www.thegioididong.com/dtdd/oppo-reno11-pro
realme C30s (3GB/64GB),"6.5"" - Tần số quét 60 Hz",IPS LCD,"{'Độ phân giải:': '8 MP', 'Quay phim:': 'HD 720p@30fpsFullHD 1080p@30fps480p@30fps', 'Đèn Flash:': 'Có', 'Tính năng:': 'Zoom kỹ thuật sốXóa phôngTrôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Làm đẹpHDRChuyên nghiệp (Pro)Bộ lọc màu                                                    Ban đêm (Night Mode)AI Camera'}","{'Độ phân giải:': '5 MP', 'Tính năng:': 'Làm đẹpHDRBộ lọc màu'}",Android 12,Unisoc SC9863A1 8 nhân,3 GB,64 GB,5000 mAh,2 Nano SIM,HD+ (720 x 1600 Pixels),2.690.000₫,https://www.thegioididong.com/dtdd/realme-c30s-3gb-64gb
Xiaomi Redmi Note 13 Pro 5G,"6.67"" - Tần số quét 120 Hz",AMOLED,"{'Độ phân giải:': 'Chính 200 MP & Phụ 8 MP, 2 MP', 'Quay phim:': 'HD 720p@30fpsHD 720p@240fpsHD 720p@120fpsFullHD 1080p@60fpsFullHD 1080p@30fpsFullHD 1080p@120fps4K 2160p@30fps', 'Đèn Flash:': 'Có', 'Tính năng:': 'Zoom kỹ thuật sốXóa phôngXiaomi ProCut                                                    Tự động lấy nét (AF)Trôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Tilt-shift                                                    Siêu độ phân giảiSiêu cận (Macro)Quét tài liệu                                                    Quay chậm (Slow Motion)Phơi sángLàm đẹpHDRGóc siêu rộng (Ultrawide)Google LensChụp hẹn giờ                                                    Chống rung điện tử kỹ thuật số (EIS)Chống rung quang học (OIS)Chuyên nghiệp (Pro)Bộ lọc màu                                                    Ban đêm (Night Mode)AI Camera'}","{'Độ phân giải:': '16 MP', 'Tính năng:': 'Xóa phôngTrôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Quay video HDQuay video Full HDQuay chậm (Slow Motion)Làm đẹp A.IHDRFlash màn hìnhChụp đêmChụp hẹn giờ'}",Android 13,Snapdragon 7s Gen 2 8 nhân,8 GB,256 GB,5100 mAh,2 Nano SIM,1.5K (1220 x 2712 Pixels),8.990.000₫,https://www.thegioididong.com/dtdd/xiaomi-redmi-note-13-pro-5g
Samsung Galaxy A15 5G,"6.5"" - Tần số quét 90 Hz",Super AMOLED,"{'Độ phân giải:': 'Chính 50 MP & Phụ 5 MP, 2 MP', 'Quay phim:': 'HD 720p@30fpsHD 720p@120fpsFullHD 1080p@30fps', 'Đèn Flash:': 'Có', 'Tính năng:': 'Zoom kỹ thuật sốXóa phôngTự động lấy nét (AF)Trôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Siêu độ phân giảiSiêu cận (Macro)Quét mã QR                                                    Quay Siêu chậm (Super Slow Motion)Làm đẹpHDRGóc siêu rộng (Ultrawide)Chụp hẹn giờ                                                    Chống rung                                                    Chuyên nghiệp (Pro)Bộ lọc màu                                                    Ban đêm (Night Mode)'}","{'Độ phân giải:': '13 MP', 'Tính năng:': 'Xóa phôngQuay video HDQuay video Full HDLàm đẹpHDRGóc rộng (Wide)Flash màn hìnhChụp hẹn giờ                                                    Bộ lọc màu'}",Android 14,MediaTek Dimensity 6100+,8 GB,256 GB,5000 mAh,2 Nano SIM,Full HD+ (1080 x 2340 Pixels),5.990.000₫,https://www.thegioididong.com/dtdd/samsung-galaxy-a15-5g
OPPO Reno10 5G,"6.7"" - Tần số quét 120 Hz",AMOLED,"{'Độ phân giải:': 'Chính 64 MP & Phụ 32 MP, 8 MP', 'Quay phim:': 'HD 720p@960fpsHD 720p@60fpsHD 720p@30fpsHD 720p@240fpsFullHD 1080p@60fpsFullHD 1080p@480fpsFullHD 1080p@30fpsFullHD 1080p@120fps4K 2160p@30fps', 'Đèn Flash:': 'Có', 'Tính năng:': 'Zoom quang họcZoom kỹ thuật sốXóa phôngTrôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Siêu độ phân giảiQuét tài liệu                                                    Quay video hiển thị képQuay chậm (Slow Motion)Nhãn dán (AR Stickers)Lấy nét theo pha (PDAF)Làm đẹpHDRGóc siêu rộng (Ultrawide)Google LensChống rung quang học (OIS)Chuyên nghiệp (Pro)Bộ lọc màu                                                    Ban đêm (Night Mode)'}","{'Độ phân giải:': '32 MP', 'Tính năng:': 'Xóa phôngTự động lấy nét (AF)Trôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Quay video HDQuay video Full HDNhãn dán (AR Stickers)Làm đẹp A.IHDRChụp đêmChống rung'}",Android 13,MediaTek Dimensity 7050 5G 8 nhân,8 GB,128 GB,5000 mAh,2 Nano SIM (SIM 2 chung khe thẻ nhớ),Full HD+ (1080 x 2412 Pixels),9.290.000₫,https://www.thegioididong.com/dtdd/oppo-reno10-5g-128gb?utm_flashsale=1
Samsung Galaxy S23 Ultra 5G,"6.8"" - Tần số quét 120 Hz",Dynamic AMOLED 2X,"{'Độ phân giải:': 'Chính 200 MP & Phụ 12 MP, 10 MP, 10 MP', 'Quay phim:': 'HD 720p@960fpsFullHD 1080p@60fpsFullHD 1080p@30fpsFullHD 1080p@240fps8K 4320p@30fps4K 2160p@60fps4K 2160p@30fps', 'Đèn Flash:': 'Có', 'Tính năng:': 'Ảnh RawZoom quang họcZoom kỹ thuật sốXóa phôngTự động lấy nét (AF)Trôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Quay Siêu chậm (Super Slow Motion)Quay chậm (Slow Motion)Làm đẹpLive Photo                                                    HDRGóc siêu rộng (Ultrawide)Góc rộng (Wide)Chống rung quang học (OIS)Chuyên nghiệp (Pro)Bộ lọc màu                                                    Ban đêm (Night Mode)'}","{'Độ phân giải:': '12 MP', 'Tính năng:': 'Xóa phôngTrôi nhanh thời gian (Time Lapse)Quay video HDQuay video Full HDQuay video 4KNhận diện khuôn mặtNhãn dán (AR Stickers)Làm đẹpLive Photo                                                    Góc siêu rộng (Ultrawide)                                                    Chụp đêmChuyên nghiệp (Pro)                                                    Bộ lọc màu'}",Android 13,Snapdragon 8 Gen 2 for Galaxy,8 GB,256 GB,5000 mAh,2 Nano SIM hoặc 1 Nano SIM + 1 eSIM,2K+ (1440 x 3088 Pixels),24.990.000₫,https://www.thegioididong.com/dtdd/samsung-galaxy-s23-ultra
vivo Y22s,"6.55"" - Tần số quét 90 Hz",IPS LCD,"{'Độ phân giải:': 'Chính 50 MP & Phụ 2 MP', 'Quay phim:': 'HD 720p@60fpsHD 720p@30fpsFullHD 1080p@30fps', 'Đèn Flash:': 'Có', 'Tính năng:': 'Zoom kỹ thuật sốXóa phôngTrôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Siêu độ phân giảiQuay chậm (Slow Motion)Live Photo                                                    Ban đêm (Night Mode)'}","{'Độ phân giải:': '8 MP', 'Tính năng:': 'Xóa phôngLàm đẹpChụp đêm'}",Android 12,Snapdragon 680 8 nhân,8 GB,128 GB,5000 mAh,2 Nano SIM,HD+ (720 x 1612 Pixels),5.990.000₫,https://www.thegioididong.com/dtdd/vivo-y22s-8gb?utm_flashsale=1
OPPO Reno10 Pro 5G,"6.7"" - Tần số quét 120 Hz",AMOLED,"{'Độ phân giải:': 'Chính 50 MP & Phụ 32 MP, 8 MP', 'Quay phim:': 'HD 720p@60fpsHD 720p@30fpsFullHD 1080p@60fpsFullHD 1080p@30fps4K 2160p@30fps', 'Đèn Flash:': 'Có', 'Tính năng:': 'Zoom quang họcZoom kỹ thuật sốXóa phôngTự động lấy nét (AF)Trôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Quét tài liệu                                                    Quay video hiển thị képQuay chậm (Slow Motion)Nhãn dán (AR Stickers)Làm đẹpHDRGóc siêu rộng (Ultrawide)Google LensChống rung quang học (OIS)Chuyên nghiệp (Pro)Bộ lọc màu                                                    Ban đêm (Night Mode)'}","{'Độ phân giải:': '32 MP', 'Tính năng:': 'Xóa phôngTự động lấy nét (AF)Trôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Quay video HDQuay video Full HDNhãn dán (AR Stickers)Làm đẹpHDRGóc siêu rộng (Ultrawide)                                                    Chụp đêmBộ lọc màu'}",Android 13,Snapdragon 778G 5G 8 nhân,12 GB,256 GB,4600 mAh,2 Nano SIM,Full HD+ (1080 x 2412 Pixels),13.290.000₫,https://www.thegioididong.com/dtdd/oppo-reno10-pro
OPPO Reno10 Pro+ 5G,"6.74"" - Tần số quét 120 Hz",AMOLED,"{'Độ phân giải:': 'Chính 50 MP & Phụ 64 MP, 8 MP', 'Quay phim:': 'HD 720p@960fpsHD 720p@60fpsHD 720p@30fpsHD 720p@240fpsFullHD 1080p@60fpsFullHD 1080p@480fpsFullHD 1080p@30fpsFullHD 1080p@120fps4K 2160p@60fps4K 2160p@30fps', 'Đèn Flash:': 'Có', 'Tính năng:': 'Zoom quang họcZoom kỹ thuật sốXóa phôngTrôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Siêu độ phân giảiQuét tài liệu                                                    Quay video hiển thị képQuay chậm (Slow Motion)Nhãn dán (AR Stickers)Lấy nét theo pha (PDAF)Làm đẹpHDRGóc siêu rộng (Ultrawide)Google LensChụp hẹn giờ                                                    Chống rung quang học (OIS)Chuyên nghiệp (Pro)Bộ lọc màu                                                    Ban đêm (Night Mode)'}","{'Độ phân giải:': '32 MP', 'Tính năng:': 'Xóa phôngTrôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Quay video HDQuay video Full HDNhãn dán (AR Stickers)Làm đẹp A.ILàm đẹpHiệu ứng Bokeh                                                    HDRGóc siêu rộng (Ultrawide)                                                    Chụp đêmChụp hẹn giờ                                                    Bộ lọc màu'}",Android 13,Snapdragon 8+ Gen 1 8 nhân,12 GB,256 GB,4700 mAh,2 Nano SIM,1.5K+ (1240 x 2772 Pixels),19.290.000₫,https://www.thegioididong.com/dtdd/oppo-reno10-pro-plus
Xiaomi Redmi Note 13 Pro+ 5G,"6.67"" - Tần số quét 120 Hz",AMOLED,"{'Độ phân giải:': 'Chính 200 MP & Phụ 8 MP, 2 MP', 'Quay phim:': 'HD 720p@30fpsHD 720p@240fpsHD 720p@120fpsFullHD 1080p@60fpsFullHD 1080p@30fpsFullHD 1080p@120fps4K 2160p@30fps4K 2160p@24fps', 'Đèn Flash:': 'Đèn LED kép', 'Tính năng:': 'Xóa phôngXiaomi ProCut                                                    Trôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Tilt-shift                                                    Siêu độ phân giảiSiêu cận (Macro)Quét tài liệu                                                    Quay chậm (Slow Motion)Phơi sángLàm đẹpHDRGoogle LensChụp ảnh chuyển động                                                    Chụp hẹn giờ                                                    Chống rung quang học (OIS)Chuyên nghiệp (Pro)Bộ lọc màu                                                    Ban đêm (Night Mode)AI Camera'}","{'Độ phân giải:': '16 MP', 'Tính năng:': 'Xóa phôngTrôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Quay video HDQuay video Full HDLàm đẹpHDRFlash màn hìnhChụp ảnh chuyển động                                                    Chụp đêmChụp hẹn giờ                                                    Bộ lọc màu'}",Android 13,MediaTek Dimensity 7200 Ultra,8 GB,256 GB,5000 mAh,2 Nano SIM,1.5K (1220 x 2712 Pixels),10.490.000₫,https://www.thegioididong.com/dtdd/xiaomi-redmi-note-13-pro-plus
OPPO Reno8 T,"6.4"" - Tần số quét 90 Hz",AMOLED,"{'Độ phân giải:': 'Chính 100 MP & Phụ 2 MP, 2 MP', 'Quay phim:': 'HD 720p@30fpsFullHD 1080p@30fps', 'Đèn Flash:': 'Có', 'Tính năng:': 'Zoom kỹ thuật sốXóa phôngTrôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Siêu độ phân giảiSiêu cận (Macro)Quay video hiển thị képQuay chậm (Slow Motion)Nhãn dán (AR Stickers)Làm đẹpHiển vi                                                    Chuyên nghiệp (Pro)Bộ lọc màu                                                    Ban đêm (Night Mode)AI Camera'}","{'Độ phân giải:': '32 MP', 'Tính năng:': 'Xóa phôngTrôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Quay video HDQuay video Full HDNhãn dán (AR Stickers)Làm đẹpHDRFlash màn hìnhChụp đêmBộ lọc màu'}",Android 13,MediaTek Helio G99 8 nhân,8 GB,256 GB,5000 mAh,2 Nano SIM,Full HD+ (1080 x 2400 Pixels),7.990.000₫,https://www.thegioididong.com/dtdd/oppo-reno8-t?utm_flashsale=1
OPPO Reno8 Pro 5G,"6.7"" - Tần số quét 120 Hz",AMOLED,"{'Độ phân giải:': 'Chính 50 MP & Phụ 8 MP, 2 MP', 'Quay phim:': 'HD 720p@60fpsHD 720p@30fpsFullHD 1080p@60fpsFullHD 1080p@30fps4K 2160p@30fps', 'Đèn Flash:': 'Có', 'Tính năng:': 'Zoom kỹ thuật sốXóa phôngTự động lấy nét (AF)Trôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Siêu độ phân giảiSiêu cận (Macro)Quay video hiển thị képQuay chậm (Slow Motion)Nhãn dán (AR Stickers)Làm đẹpHDRGóc siêu rộng (Ultrawide)Chuyên nghiệp (Pro)Bộ lọc màu                                                    Ban đêm (Night Mode)AI Camera'}","{'Độ phân giải:': '32 MP', 'Tính năng:': 'Xóa phôngTrôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Quay video HDQuay video Full HDNhãn dán (AR Stickers)Làm đẹpHDRGóc siêu rộng (Ultrawide)                                                    Chụp đêmBộ lọc màu                                                    A.I Camera'}",Android 12,MediaTek Dimensity 8100 Max 8 nhân,12 GB,256 GB,4500 mAh,2 Nano SIM,Full HD+ (1080 x 2412 Pixels),18.990.000₫,https://www.thegioididong.com/dtdd/oppo-reno8-pro?utm_flashsale=1
OPPO Find N3 5G,"Chính 7.82"" & Phụ 6.31"" - Tần số quét 120 Hz",AMOLED,"{'Độ phân giải:': 'Chính 48 MP & Phụ 48 MP, 64 MP', 'Quay phim:': 'HD 720p@60fpsHD 720p@480fpsHD 720p@30fpsHD 720p@240fpsFullHD 1080p@60fpsFullHD 1080p@30fpsFullHD 1080p@240fps4K 2160p@60fps4K 2160p@30fps', 'Đèn Flash:': 'Có', 'Tính năng:': 'Ảnh RawZoom quang họcZoom kỹ thuật sốXóa phôngXPAN                                                    Trôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Siêu độ phân giảiSiêu cận (Macro)Quét mã QR                                                    Quay video hiển thị képQuay chậm (Slow Motion)Phơi sángNhãn dán (AR Stickers)Làm đẹpHDRGóc siêu rộng (Ultrawide)Google LensFlexCam                                                    Chụp hẹn giờ                                                    Chống rung quang học (OIS)Chuyên nghiệp (Pro)Bộ lọc màu                                                    Ban đêm (Night Mode)'}","{'Độ phân giải:': 'Trong: 20 MP & Ngoài: 32 MP', 'Tính năng:': 'Xóa phôngVideo hiển thị kép                                                    Trôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Quay video HDQuay video Full HDQuay video 4KNhãn dán (AR Stickers)Làm đẹpHDRFlash màn hìnhChụp đêmChụp hẹn giờ                                                    Chống rungBộ lọc màu'}",Android 13,Snapdragon 8 Gen 2 8 nhân,16 GB,512 GB,4805 mAh,2 Nano SIM hoặc 1 Nano SIM + 1 eSIM,Chính: 2K+ (2268 x 2440 Pixels) & Phụ: FHD+ (1116 x 2484 Pixels),41.990.000₫,https://www.thegioididong.com/dtdd/oppo-find-n3
Samsung Galaxy Z Fold5 5G,"Chính 7.6"" & Phụ 6.2"" - Tần số quét 120 Hz",Dynamic AMOLED 2X,"{'Độ phân giải:': 'Chính 50 MP & Phụ 12 MP, 10 MP', 'Quay phim:': 'HD 720p@30fpsFullHD 1080p@60fpsFullHD 1080p@30fps8K 4320p@30fps4K 2160p@60fps4K 2160p@30fps', 'Đèn Flash:': 'Có', 'Tính năng:': 'Zoom quang họcZoom kỹ thuật sốXóa phôngTrôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Quay Siêu chậm (Super Slow Motion)Quay chậm (Slow Motion)Làm đẹpHiệu ứng BokehHDRGóc siêu rộng (Ultrawide)Góc rộng (Wide)FlexCam                                                    Chống rung quang học (OIS)Chuyên nghiệp (Pro)Bộ lọc màu                                                    Ban đêm (Night Mode)'}","{'Độ phân giải:': '10 MP & 4 MP', 'Tính năng:': 'Xóa phôngTrôi nhanh thời gian (Time Lapse)Quay video Full HDQuay video 4KQuay chậm (Slow Motion)Làm đẹpGóc rộng (Wide)FlexCam                                                    Chụp đêmChuyên nghiệp (Pro)                                                    Bộ lọc màu'}",Android 13,Snapdragon 8 Gen 2 for Galaxy,12 GB,256 GB,4400 mAh,2 Nano SIM hoặc 1 Nano SIM + 1 eSIM,Chính: QXGA+ (2176 x 1812 Pixels) & Phụ: HD+ (2316 x 904 Pixels),40.990.000₫,https://www.thegioididong.com/dtdd/samsung-galaxy-z-fold5
OPPO Find N3 Flip 5G,"Chính 6.8"" & Phụ 3.26"" - Tần số quét Chính: 120 Hz & Phụ: 60 Hz",AMOLED,"{'Độ phân giải:': 'Chính 50 MP & Phụ 48 MP, 32 MP', 'Quay phim:': 'HD 720p@60fpsHD 720p@480fpsHD 720p@30fpsFullHD 1080p@60fpsFullHD 1080p@30fpsFullHD 1080p@240fps4K 2160p@30fps', 'Đèn Flash:': 'Có', 'Tính năng:': 'Ảnh RawZoom quang họcZoom kỹ thuật sốXóa phôngTự động lấy nét (AF)Trôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Siêu độ phân giảiQuét tài liệu                                                    Quét mã QR                                                    Quay chậm (Slow Motion)Phơi sángNhãn dán (AR Stickers)Làm đẹpHDRGóc siêu rộng (Ultrawide)Google LensChụp hẹn giờ                                                    Chống rung quang học (OIS)Chuyên nghiệp (Pro)Bộ lọc màu                                                    Ban đêm (Night Mode)'}","{'Độ phân giải:': '32 MP', 'Tính năng:': 'Xóa phôngTrôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Quay video HDQuay video Full HDQuay video 4KNhãn dán (AR Stickers)Làm đẹpHDRGóc rộng (Wide)Chụp đêmChống rungBộ lọc màu'}",Android 13,MediaTek Dimensity 9200 5G 8 nhân,12 GB,256 GB,4300 mAh,2 Nano SIM,Chính: FHD+ (1080 x 2520 Pixels) & Phụ: SD (382 x 720 Pixels),22.990.000₫,https://www.thegioididong.com/dtdd/oppo-find-n3-flip
iPhone 14 Plus,"6.7"" - Tần số quét 60 Hz",OLED,"{'Độ phân giải:': '2 camera 12 MP', 'Quay phim:': 'HD 720p@30fpsFullHD 1080p@60fpsFullHD 1080p@30fps4K 2160p@60fps4K 2160p@30fps4K 2160p@24fps', 'Đèn Flash:': 'Có', 'Tính năng:': 'Zoom quang họcZoom kỹ thuật sốXóa phôngTrôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Smart HDR 4                                                    Quay chậm (Slow Motion)Live Photo                                                    Góc siêu rộng (Ultrawide)Góc rộng (Wide)Deep FusionCinematicChống rung quang học (OIS)Chế độ hành động (Action Mode)Bộ lọc màu                                                    Ban đêm (Night Mode)'}","{'Độ phân giải:': '12 MP', 'Tính năng:': 'Xóa phôngTự động lấy nét (AF)Trôi nhanh thời gian (Time Lapse)Smart HDR 4                                                    Retina FlashQuay video Full HDQuay video 4KQuay chậm (Slow Motion)Live Photo                                                    Cinematic                                                    Chụp đêmBộ lọc màu'}",iOS 16,Apple A15 Bionic 6 nhân,6 GB,128 GB,4325 mAh,1 Nano SIM & 1 eSIM,Super Retina XDR (1284 x 2778 Pixels),20.090.000₫ *,https://www.thegioididong.com/dtdd/iphone-14-plus
