Tên điện thoại,Màn hình rộng:,Chuẩn màn hình:,Camera sau,Camera trước,Hệ điều hành:,Chip xử lý (CPU):,RAM:,Dung lượng lưu trữ:,Dung lượng pin:,SIM:,Độ phân giải:,Giá tiền,Link
iPhone 13 128GB,"6.1"" - Tần số quét 60 Hz",OLED,"{'Độ phân giải:': '2 camera 12 MP', 'Quay phim:': 'HD 720p@30fpsFullHD 1080p@60fpsFullHD 1080p@30fpsFullHD 1080p@240fpsFullHD 1080p@120fps4K 2160p@60fps4K 2160p@30fps4K 2160p@24fps', 'Đèn Flash:': 'Có', 'Tính năng:': 'Zoom quang họcZoom kỹ thuật sốXóa phôngTự động lấy nét (AF)Trôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Smart HDR 4                                                    Quay chậm (Slow Motion)Nhận diện khuôn mặtGóc siêu rộng (Ultrawide)Góc rộng (Wide)Dolby Vision HDRDeep FusionCinematicChống rung quang học (OIS)Chạm lấy nétBan đêm (Night Mode)'}","{'Độ phân giải:': '12 MP', 'Tính năng:': 'Xóa phôngTự động lấy nét (AF)Smart HDR 4                                                    Quay video HDQuay video Full HDQuay video 4KNhận diện khuôn mặt'}",iOS 15,Apple A15 Bionic 6 nhân,4 GB,128 GB,3240 mAh,1 Nano SIM & 1 eSIM,Super Retina XDR (1170 x 2532 Pixels),từ                    14.990.000₫,https://www.thegioididong.com/dtdd/iphone-13
Xiaomi Redmi Note 13,"6.67"" - Tần số quét 120 Hz",AMOLED,"{'Độ phân giải:': 'Chính 108 MP & Phụ 8 MP, 2 MP', 'Quay phim:': 'HD 720p@30fpsHD 720p@120fpsFullHD 1080p@30fps', 'Đèn Flash:': 'Có', 'Tính năng:': 'Xóa phôngTrôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Tilt-shift                                                    Siêu độ phân giảiSiêu cận (Macro)Quét tài liệu                                                    Quay chậm (Slow Motion)Làm đẹpHDRGóc siêu rộng (Ultrawide)Google LensChụp hẹn giờ                                                    Chuyên nghiệp (Pro)Bộ lọc màu                                                    Ban đêm (Night Mode)AI Camera'}","{'Độ phân giải:': '16 MP', 'Tính năng:': 'Quay video HDQuay video Full HDLàm đẹpHDRFlash màn hìnhChụp hẹn giờ                                                    Bộ lọc màu'}",Android 13,Snapdragon 685 8 nhân,6 GB,128 GB,5000 mAh,2 Nano SIM (SIM 2 chung khe thẻ nhớ),Full HD+ (1080 x 2400 Pixels),4.590.000₫,https://www.thegioididong.com/dtdd/xiaomi-redmi-note-13-6gb-128gb
realme C55,"6.72"" - Tần số quét 90 Hz",IPS LCD,"{'Độ phân giải:': 'Chính 64 MP & Phụ 2 MP', 'Quay phim:': 'HD 720p@60fpsHD 720p@30fpsFullHD 1080p@60fpsFullHD 1080p@30fps', 'Đèn Flash:': 'Có', 'Tính năng:': 'Zoom kỹ thuật sốXóa phôngTrôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Siêu độ phân giảiQuay chậm (Slow Motion)Làm đẹpHDRGoogle LensChuyên nghiệp (Pro)Bộ lọc màu                                                    Ban đêm (Night Mode)AI Camera'}","{'Độ phân giải:': '8 MP', 'Tính năng:': 'Xóa phôngTrôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Quay video HDQuay video Full HDLàm đẹpHDRChụp đêmBộ lọc màu'}",Android 13,MediaTek Helio G88 8 nhân,6 GB,128 GB,5000 mAh,2 Nano SIM,Full HD+ (1080 x 2400 Pixels),4.990.000₫,https://www.thegioididong.com/dtdd/realme-c55
iPhone 11,"6.1"" - Tần số quét 60 Hz",IPS LCD,"{'Độ phân giải:': '2 camera 12 MP', 'Quay phim:': 'HD 720p@30fpsFullHD 1080p@60fpsFullHD 1080p@30fpsFullHD 1080p@240fpsFullHD 1080p@120fps4K 2160p@60fps4K 2160p@30fps4K 2160p@24fps', 'Đèn Flash:': '3 đèn LED 2 tông màu', 'Tính năng:': 'Zoom quang họcZoom kỹ thuật sốXóa phôngTự động lấy nét (AF)Trôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Quay chậm (Slow Motion)Nhận diện khuôn mặtHDRGóc siêu rộng (Ultrawide)Góc rộng (Wide)Deep FusionChống rung quang học (OIS)Chạm lấy nétBan đêm (Night Mode)'}","{'Độ phân giải:': '12 MP', 'Tính năng:': 'Xóa phôngTự động lấy nét (AF)Retina FlashQuay video HDQuay video Full HDQuay video 4KQuay chậm (Slow Motion)Nhận diện khuôn mặtNhãn dán (AR Stickers)HDR'}",iOS 15,Apple A13 Bionic 6 nhân,4 GB,64 GB,3110 mAh,1 Nano SIM & 1 eSIM,Liquid Retina (828 x 1792 Pixels),9.990.000₫,https://www.thegioididong.com/dtdd/iphone-11
vivo Y36,"6.64"" - Tần số quét 90 Hz",IPS LCD,"{'Độ phân giải:': 'Chính 50 MP & Phụ 2 MP', 'Quay phim:': 'HD 720p@60fpsHD 720p@30fpsFullHD 1080p@30fps', 'Đèn Flash:': 'Có', 'Tính năng:': 'Zoom kỹ thuật sốXóa phôngTự động lấy nét (AF)Trôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Siêu độ phân giảiQuay chậm (Slow Motion)Phơi sáng kép                                                    Làm đẹpLive Photo                                                    HDRChống rung điện tử kỹ thuật số (EIS)Chuyên nghiệp (Pro)Bộ lọc màu                                                    Ban đêm (Night Mode)'}","{'Độ phân giải:': '16 MP', 'Tính năng:': 'Xóa phôngQuay video HDQuay video Full HDPhơi sáng kép                                                    Làm đẹpLive Photo                                                    HDRChụp đêmBộ lọc màu'}",Android 13,Snapdragon 680 8 nhân,8 GB,128 GB,5000 mAh,2 Nano SIM,Full HD+ (1080 x 2388 Pixels),5.090.000₫,https://www.thegioididong.com/dtdd/vivo-y36-128gb?utm_flashsale=1
realme C67,"6.72"" - Tần số quét 90 Hz",IPS LCD,"{'Độ phân giải:': 'Chính 108 MP & Phụ 2 MP', 'Quay phim:': 'HD 720p@30fpsHD 720p@120fpsFullHD 1080p@30fps', 'Đèn Flash:': 'Có', 'Tính năng:': 'Zoom kỹ thuật sốXóa phôngTrôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Tilt-shift                                                    Siêu độ phân giảiQuét tài liệu                                                    Quay chậm (Slow Motion)Làm đẹpHDRGoogle LensChụp hẹn giờ                                                    Chống rung điện tử kỹ thuật số (EIS)Chuyên nghiệp (Pro)Bộ lọc màu                                                    Ban đêm (Night Mode)'}","{'Độ phân giải:': '8 MP', 'Tính năng:': 'Xóa phôngTrôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Quay video HDQuay video Full HDLàm đẹpFlash màn hìnhChụp đêmChụp hẹn giờ                                                    Chống rung điện tử kỹ thuật số (EIS)Bộ lọc màu'}",Android 14,Snapdragon 685 8 nhân,8 GB,128 GB,5000 mAh,2 Nano SIM,Full HD+ (1080 x 2400 Pixels),4.890.000₫ *,https://www.thegioididong.com/dtdd/realme-c67?utm_flashsale=1
realme 11,"6.4"" - Tần số quét 90 Hz",Super AMOLED,"{'Độ phân giải:': 'Chính 108 MP & Phụ 2 MP', 'Quay phim:': 'FullHD 1080p@30fps', 'Đèn Flash:': 'Có', 'Tính năng:': 'Xóa phôngToàn cảnh (Panorama)Siêu độ phân giảiQuay chậm (Slow Motion)Làm đẹpHDRChuyên nghiệp (Pro)Bộ lọc màu                                                    Ban đêm (Night Mode)'}","{'Độ phân giải:': '16 MP', 'Tính năng:': 'Xóa phôngToàn cảnh (Panorama)Quay video Full HDNhận diện khuôn mặtLàm đẹpHDRChụp đêmBộ lọc màu'}",Android 13,MediaTek Helio G99 8 nhân,8 GB,128 GB,5000 mAh,2 Nano SIM,Full HD+ (1080 x 2400 Pixels),5.990.000₫ *,https://www.thegioididong.com/dtdd/realme-11-128gb?utm_flashsale=1
Samsung Galaxy S23 FE 5G,"6.4"" - Tần số quét 120 Hz",Dynamic AMOLED 2X,"{'Độ phân giải:': 'Chính 50 MP & Phụ 12 MP, 8 MP', 'Quay phim:': 'HD 720p@960fpsHD 720p@30fpsFullHD 1080p@60fpsFullHD 1080p@30fpsFullHD 1080p@240fps8K 4320p@24fps4K 2160p@60fps4K 2160p@30fps', 'Đèn Flash:': 'Có', 'Tính năng:': 'Zoom quang họcZoom kỹ thuật sốXóa phôngVideo chân dung                                                    Video chuyên nghiệp                                                    Tự động lấy nét (AF)Trôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Siêu độ phân giảiQuét tài liệu                                                    Quét mã QR                                                    Quay video hiển thị képQuay Siêu chậm (Super Slow Motion)Quay chậm (Slow Motion)Lấy nét theo pha (PDAF)Làm đẹpHDRGóc siêu rộng (Ultrawide)Chụp ảnh chuyển động                                                    Chụp một chạm                                                    Chụp hẹn giờ                                                    Chống rung quang học (OIS)Chống rung kỹ thuật số (VDIS)                                                    Chuyên nghiệp (Pro)Bộ lọc màu                                                    Ban đêm (Night Mode)AI Camera'}","{'Độ phân giải:': '10 MP', 'Tính năng:': 'Xóa phôngVideo hiển thị kép                                                    Video chân dung                                                    Trôi nhanh thời gian (Time Lapse)Quay video HDQuay video Full HDQuay video 4KQuay chậm (Slow Motion)Làm đẹpHDRGóc rộng (Wide)Chụp ảnh chuyển động                                                    Chụp đêmChụp một chạm                                                    Chụp hẹn giờ                                                    Bộ lọc màu'}",Android 13,Exynos 2200 8 nhân,8 GB,128 GB,4500 mAh,2 Nano SIM hoặc 1 Nano SIM + 1 eSIM,Full HD+ (1080 x 2340 Pixels),13.390.000₫,https://www.thegioididong.com/dtdd/samsung-galaxy-s23-fe-5g
iPhone 12,"6.1"" - Tần số quét 60 Hz",OLED,"{'Độ phân giải:': '2 camera 12 MP', 'Quay phim:': 'HD 720p@30fpsFullHD 1080p@60fpsFullHD 1080p@30fpsFullHD 1080p@240fpsFullHD 1080p@120fps4K 2160p@60fps4K 2160p@30fps4K 2160p@24fps', 'Đèn Flash:': 'Đèn LED kép', 'Tính năng:': 'Zoom quang họcZoom kỹ thuật sốXóa phôngTự động lấy nét (AF)Trôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Smart HDR 3                                                    Quay chậm (Slow Motion)Nhận diện khuôn mặtGóc siêu rộng (Ultrawide)Góc rộng (Wide)Deep FusionChống rung quang học (OIS)Ban đêm (Night Mode)'}","{'Độ phân giải:': '12 MP', 'Tính năng:': 'Xóa phôngTự động lấy nét (AF)Smart HDR 3                                                    Retina FlashQuay video HDQuay video Full HDQuay video 4KQuay chậm (Slow Motion)Nhận diện khuôn mặtNhãn dán (AR Stickers)Deep Fusion'}",iOS 15,Apple A14 Bionic 6 nhân,4 GB,64 GB,2815 mAh,1 Nano SIM & 1 eSIM,Super Retina XDR (1170 x 2532 Pixels),12.090.000₫ *,https://www.thegioididong.com/dtdd/iphone-12
Samsung Galaxy A25 5G,"6.5"" - Tần số quét 120 Hz",Super AMOLED,"{'Độ phân giải:': 'Chính 50 MP & Phụ 8 MP, 2 MP', 'Quay phim:': 'HD 720p@480fpsHD 720p@240fpsFullHD 1080p@60fpsFullHD 1080p@30fpsFullHD 1080p@120fps4K 2160p@30fps', 'Đèn Flash:': 'Có', 'Tính năng:': 'Zoom kỹ thuật sốXóa phôngVideo chuyên nghiệp                                                    Tự động lấy nét (AF)Trôi nhanh thời gian (Time Lapse)Toàn cảnh (Panorama)Siêu độ phân giảiSiêu cận (Macro)Quét tài liệu                                                    Quét mã QR                                                    Quay Siêu chậm (Super Slow Motion)Quay chậm (Slow Motion)Nhãn dán (AR Stickers)Làm đẹpHDRGóc siêu rộng (Ultrawide)Chụp ảnh chuyển động                                                    Chụp một chạm                                                    Chụp hẹn giờ                                                    Chống rung quang học (OIS)Chống rung kỹ thuật số (VDIS)                                                    Chuyên nghiệp (Pro)Bộ lọc màu                                                    Ban đêm (Night Mode)'}","{'Độ phân giải:': '13 MP', 'Tính năng:': 'Xóa phôngTrôi nhanh thời gian (Time Lapse)Quay video HDQuay video Full HDNhãn dán (AR Stickers)Làm đẹpHDRGóc rộng (Wide)Flash màn hìnhChụp ảnh chuyển động                                                    Chụp đêmChụp một chạm                                                    Chụp hẹn giờ                                                    Bộ lọc màu'}",Android 14,Exynos 1280 8 nhân,8 GB,128 GB,5000 mAh,2 Nano SIM,Full HD+ (1080 x 2340 Pixels),6.690.000₫,https://www.thegioididong.com/dtdd/samsung-galaxy-a25-8gb
